alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Response
2.99,0.334,3.43,3.68,3.14,0.0256,Calm,Sad
3.05,0.328,3.46,3.98,3.18,0.0235,Calm,Sad
3.2,0.313,3.48,4.08,3,0.0146,Calm,Sad
3.26,0.306,3.54,4.05,3.01,0.00992,Calm,Sad
3.24,0.309,3.46,3.97,2.92,0.0104,Calm,Sad
3.25,0.308,3.39,3.9,3.06,0.00731,Calm,Sad
3.26,0.307,3.52,3.79,2.92,0.0015,Calm,Sad
3.32,0.301,3.49,3.79,2.96,-0.0119,Calm,Sad
3.28,0.304,3.18,3.78,2.93,-0.0284,Calm,Sad
3.14,0.319,3.1,3.74,2.82,-0.0432,Calm,Sad
3.1,0.322,3.1,3.77,2.72,-0.0525,Calm,Sad
3.17,0.316,3.16,3.67,3.03,-0.049,Calm,Sad
3.39,0.295,3.31,3.51,3.1,-0.0534,Calm,Sad
3.47,0.288,3.32,3.86,3.03,-0.0506,Calm,Sad
3.45,0.29,3.25,4.23,3.01,-0.0462,Calm,Sad
3.46,0.289,3.23,4.37,2.97,-0.0448,Calm,Sad
3.44,0.29,3.21,4.33,2.85,-0.0392,Calm,Sad
3.45,0.29,3.19,4.31,2.89,-0.0289,Calm,Sad
3.41,0.293,3.28,4.3,2.84,-0.0261,Calm,Sad
3.33,0.301,3.3,4.35,2.86,-0.0249,Calm,Sad
3.28,0.305,3.28,4.52,2.89,-0.0283,Calm,Sad
3.28,0.305,3.18,4.63,2.67,-0.0355,Calm,Sad
3.18,0.314,3.17,4.64,2.32,-0.0416,Calm,Sad
2.8,0.357,2.98,4.51,2.23,-0.0422,Calm,Sad
2.6,0.384,2.98,4.2,2.36,-0.0493,Calm,Sad
2.65,0.378,3.1,3.89,2.27,-0.0644,Calm,Sad
2.78,0.36,3,3.92,2.22,-0.0566,Calm,Sad
2.89,0.346,2.94,4.04,2.12,-0.0491,Calm,Sad
2.97,0.337,2.93,4.04,2.21,-0.0201,Calm,Sad
3.11,0.321,2.83,4.04,2.22,-0.00267,Calm,Sad
3.2,0.313,2.88,3.96,2.08,-0.000619,Calm,Sad
3.22,0.311,2.86,3.9,2.1,-0.000749,Calm,Sad
3.11,0.321,2.91,4.23,2.07,0.0109,Calm,Sad
3.16,0.316,2.88,4.75,2.04,0.0175,Calm,Sad
3.28,0.305,2.95,5,1.93,0.0138,Calm,Sad
3.27,0.306,2.94,5.08,1.87,0.0143,Calm,Sad
3.26,0.307,2.74,5.1,1.89,0.0164,Calm,Sad
3.39,0.295,3.12,5.06,1.95,0.001,Calm,Sad
3.42,0.292,3.13,5.02,1.88,-0.017,Calm,Sad
